序号,title,authors,year,publication_info,url,abstract,source,相关度评分
1,FinReflectKG -- HalluBench: GraphRAG Hallucination Benchmark for Financial Question Answering Systems,"['Mahesh Kumar', 'Bhaskarjit Sarmah', 'Stefano Pasquali']",2026-03-11T04:37:53+00:00,arXiv,,"As organizations increasingly integrate AI-powered question-answering systems into financial information systems for compliance, risk assessment, and decision support, ensuring the factual accuracy of AI-generated outputs becomes a critical engineering challenge. Current Knowledge Graph (KG)-augmented QA systems lack systematic mechanisms to detect hallucinations - factually incorrect outputs that undermine reliability and user trust. We introduce FinBench-QA-Hallucination, a benchmark for evaluating hallucination detection methods in KG-augmented financial QA over SEC 10-K filings. The dataset contains 755 annotated examples from 300 pages, each labeled for groundedness using a conservative evidence-linkage protocol requiring support from both textual chunks and extracted relational triplets. We evaluate six detection approaches - LLM judges, fine-tuned classifiers, Natural Language Inference (NLI) models, span detectors, and embedding-based methods under two conditions: with and without KG triplets. Results show that LLM-based judges and embedding approaches achieve the highest performance (F1: 0.82-0.86) under clean conditions. However, most methods degrade significantly when noisy triplets are introduced, with Matthews Correlation Coefficient (MCC) dropping 44-84 percent, while embedding methods remain relatively robust with only 9 percent degradation. Statistical tests (Cochran's Q and McNemar) confirm significant performance differences (p < 0.001). Our findings highlight vulnerabilities in current KG-augmented systems and provide insights for building reliable financial information systems, where hallucinations can lead to regulatory violations and flawed decisions. The benchmark also offers a framework for integrating AI reliability evaluation into information system design across other high-stakes domains such as healthcare, legal, and government.",arXiv,5
2,面向应急管理的金融突发事件事理知识图谱构建与分析研究,刘政昊， 曾曦， 张志剑,2022,"刘政昊， 曾曦， 张志剑 - 信息资源管理学报, 2022 - researchgate.net",https://www.researchgate.net/profile/Zhenghao-Liu-4/publication/373632917_Research_on_Construction_and_Analysis_of_Financial_Emergencies_Knowledge_Graph_with_Event_Logical_for_Emergency_Management/links/64f44b5848c07f3da3d3415f/Research-on-Construction-and-Analysis-of-Financial-Emergencies-Knowledge-Graph-with-Event-Logical-for-Emergency-Management.pdf,"… 以知识驱动的事件关联与演化为切入点,在 借鉴突发事件应急… 知识与事理逻辑的“事理知识图 谱”,探讨分析金融市场突发事件的… 31]等事件本体模型的同时,还借鉴 唐旭丽等[32]对金融静态本体和…",Google Scholar,4
3,知识关联视角下金融证券知识图谱构建与相关股票发现,刘政昊， 钱宇星， 衣天龙， 吕华揆,2022,"刘政昊， 钱宇星， 衣天龙， 吕华揆 - 数据分析与知识发现, 2022 - manu44.magtech.com.cn",https://manu44.magtech.com.cn/Jwk_infotech_wk3/CN/article/downloadArticleFile.do?attachType=PDF&id=5303,"… 与传导效应;又能够为客户提供智能查询股 票,行业,重仓概念板块和复杂股权关系等智能问答 服务.此外,知识图谱还能够基于领域间的关联知 识,挖掘相关股票的多维特征,为投资者分析潜在的 …",Google Scholar,3
4,Towards Faithful Industrial RAG: A Reinforced Co-adaptation Framework for Advertising QA,"['Wenwei Li', 'Ming Xu', 'Tianle Xia', 'Lingxiang Hu', 'Yiding Sun', 'Linfang Shang', 'Liqun Liu', 'Peng Shu', 'Huan Yu', 'Jie Jiang']",2026-02-26T03:35:09+00:00,arXiv,,"Industrial advertising question answering (QA) is a high-stakes task in which hallucinated content, particularly fabricated URLs, can lead to financial loss, compliance violations, and legal risk. Although Retrieval-Augmented Generation (RAG) is widely adopted, deploying it in production remains challenging because industrial knowledge is inherently relational, frequently updated, and insufficiently aligned with generation objectives. We propose a reinforced co-adaptation framework that jointly optimizes retrieval and generation through two components: (1) Graph-aware Retrieval (GraphRAG), which models entity-relation structure over a high-citation knowledge subgraph for multi-hop, domain-specific evidence selection; and (2) evidence-constrained reinforcement learning via Group Relative Policy Optimization (GRPO) with multi-dimensional rewards covering faithfulness, style compliance, safety, and URL validity. Experiments on an internal advertising QA dataset show consistent gains across expert-judged dimensions including accuracy, completeness, and safety, while reducing the hallucination rate by 72\%. A two-week online A/B test demonstrates a 28.6\% increase in like rate, a 46.2\% decrease in dislike rate, and a 92.7\% reduction in URL hallucination. The system has been running in production for over half a year and has served millions of QA interactions.",arXiv,3
5,HC-RAG: Evidence-Centric Retrieval-Augmented Generation over Heterogeneous Financial Filings,"['Siyuan Chen', 'Huaye Tan', 'You Li', 'Jiajun Liang']",2026-06-03T02:19:47+00:00,arXiv,,"Financial question answering over annual reports requires more than retrieving semantically similar passages. It often involves identifying relevant companies and fiscal years, locating standardized filing sections, collecting textual and tabular evidence, and checking answers against the original documents. Existing RAG systems, however, usually flatten long filings into unordered chunks, pay limited attention to the typed structure of financial reports, and use fixed text-table fusion strategies without considering query intent. To address these limitations, we propose \textbf{HC-RAG}, a hierarchical cross-modal retrieval-augmented generation framework for evidence-centric financial QA. HC-RAG organizes filings into a typed financial evidence graph with documents, sections, text units, table units, and metadata nodes. It retrieves evidence through document-section-unit paths, aligns textual and tabular evidence in a shared retrieval space, and routes evidence according to four semantic intents: calculation, trend, fact, and comparison. We further introduce \textbf{Multi-Doc-2025}, a benchmark containing 2,327 expert-verified QA pairs from 179 SEC 10-K filings of 87 S\&P 500 companies across fiscal years 2022--2024, with labels for intent, difficulty, and structural evidence attributes. Experiments on public financial QA benchmarks and Multi-Doc-2025 show that HC-RAG improves both answer quality and evidence localization, especially in long-document, table-related, and cross-document settings. HC-RAG outperforms RAPTOR by 6.6 F1 points on DocFinQA and GraphRAG by 10.9 F1 points on Multi-Doc-2025. Evidence-level analysis and ablation studies show that the improvements mainly come from more accurate section localization, table grounding, cross-document evidence aggregation, and intent-aware text-table routing.",arXiv,3
6,HybridRAG: Integrating Knowledge Graphs and Vector Retrieval Augmented Generation for Efficient Information Extraction,"['Bhaskarjit Sarmah', 'Benika Hall', 'Rohan Rao', 'Sunil Patel', 'Stefano Pasquali', 'Dhagash Mehta']",2024-08-09T09:07:48+00:00,arXiv,,"Extraction and interpretation of intricate information from unstructured text data arising in financial applications, such as earnings call transcripts, present substantial challenges to large language models (LLMs) even using the current best practices to use Retrieval Augmented Generation (RAG) (referred to as VectorRAG techniques which utilize vector databases for information retrieval) due to challenges such as domain specific terminology and complex formats of the documents. We introduce a novel approach based on a combination, called HybridRAG, of the Knowledge Graphs (KGs) based RAG techniques (called GraphRAG) and VectorRAG techniques to enhance question-answer (Q&A) systems for information extraction from financial documents that is shown to be capable of generating accurate and contextually relevant answers. Using experiments on a set of financial earning call transcripts documents which come in the form of Q&A format, and hence provide a natural set of pairs of ground-truth Q&As, we show that HybridRAG which retrieves context from both vector database and KG outperforms both traditional VectorRAG and GraphRAG individually when evaluated at both the retrieval and generation stages in terms of retrieval accuracy and answer generation. The proposed technique has applications beyond the financial domain",arXiv,2
7,大语言模型赋能的地质找矿知识图谱与问答模型构建,马凯,2026,"马凯 - Science, 2026",,,Google Scholar,2
8,国产大语言模型检索增强生成技术在海关领域的应用研究,范毅铭， 沈源里， 夏永忠， 林嘉宜， 黄石欣,2025,"范毅铭， 沈源里， 夏永忠， 林嘉宜， 黄石欣 - 自然科学前沿, 2025 - sci-open.net",https://www.sci-open.net/index.php/FNS/article/view/5524,"… 检索增强生成(RAG)技术因依 赖相似度检索而难以捕捉实体间多跳依赖关系,且易受冗余,冲突条款干扰.本研究提出基于图结构优化的 GraphRAG… 动态检索机制显著提升了海关 知识问答场景的…",Google Scholar,2
9,面向金融知识图谱的动态关系预测方法研究,张志剑， 倪珍妮， 刘政昊， 夏苏迪,2023,"张志剑， 倪珍妮， 刘政昊， 夏苏迪 - 数据分析与知识发现, 2023 - manu44.magtech.com.cn",https://manu44.magtech.com.cn/Jwk_infotech_wk3/CN/article/downloadArticleFile.do?attachType=PDF&id=5736,"… 的不完备性是阻碍人 工智能服务质量提高的主要因素之一[7].为… 然而,受限于金融机构信息采集渠道与速 率,金融知识图谱的更新… 知识图谱中的股权关 系由股东名称,股东顺序,持股数,持股比例…",Google Scholar,2
10,图检索增强生成研究综述,周俭航， 肖诗斌,2025.0,"周俭航， 肖诗斌 - Artificial Intelligence and Robotics Research, 2025 - pdf.hanspub.org",https://pdf.hanspub.org/airr2025142_162610573.pdf,"… 外部知识库来提高大语言模型(LLM)的性能,检索增强生成(RAG)… 客户服务问答系统的模型性能,Xu 等人构建了一个过去问题图,… 通过利用GraphRAG 系统从知识图中检索相关信息,可以有助于…",Google Scholar,2
