head_id,relation,tail_id,source_doc_id,source_chunk_id,confidence,role,valid_from,valid_to
000001,HAS_EXECUTIVE,PER-0035,1231,1231000,0.85,,,
000001,HAS_EXECUTIVE,PER-0073,1355,1355000,0.85,,,
000001,HAS_EXECUTIVE,PER-0351,1274,1274001,0.85,,,
000001,HAS_EXECUTIVE,PER-0351,1337,1337000,0.9,,,
000001,HAS_EXECUTIVE,PER-0440,1200,1200000,0.85,,,
000001,PARTICIPATES_IN,EVT-0045,1023,1023000,0.95,主体,,
000001,PARTICIPATES_IN,EVT-0071,1037,1037000,0.85,主体,,
000001,PARTICIPATES_IN,EVT-0072,1038,1038000,0.95,主体,,
000001,PARTICIPATES_IN,EVT-0073,1038,1038001,0.9,主体,,
000001,PARTICIPATES_IN,EVT-0422,1200,1200000,0.85,涉及方,,
000001,PARTICIPATES_IN,EVT-0490,1231,1231000,0.95,主体,,
000001,PARTICIPATES_IN,EVT-0491,1231,1231000,0.95,主体,,
000001,PARTICIPATES_IN,EVT-0492,1231,1231000,0.85,主体,,
000001,PARTICIPATES_IN,EVT-0574,1274,1274003,0.9,主体,,
000001,PARTICIPATES_IN,EVT-0716,1337,1337000,0.9,主体,,
000001,PARTICIPATES_IN,EVT-0717,1337,1337000,0.9,主体,,
000001,PARTICIPATES_IN,EVT-0718,1337,1337001,0.9,主体,,
000001,PARTICIPATES_IN,EVT-0719,1337,1337001,0.9,主体,,
000001,PARTICIPATES_IN,EVT-0755,1355,1355000,0.95,主体,,
000001,PARTICIPATES_IN,EVT-1290,2025,2025001,0.8,合作方,,
000001,PARTICIPATES_IN,EVT-1320,2039,2039000,0.95,合作方,,
000001,PARTICIPATES_IN,EVT-1321,2039,2039005,0.9,主体,,
000001,PARTICIPATES_IN,EVT-1322,2039,2039005,0.9,主体,,
000002,HAS_EXECUTIVE,PER-0162,1154,1154000,0.85,,,
000002,HAS_EXECUTIVE,PER-0446,1273,1273005,0.9,,,
000002,PARTICIPATES_IN,EVT-0029,1015,1015000,0.9,主体,,
000002,PARTICIPATES_IN,EVT-0030,1015,1015002,0.9,主体,,
